d_pos,d_neg,s_pos,s_neg,hudongdu,comment_count
0.731158376,0.268841594,0.575202882,0.424797088,0.2,145
0.674862623,0.325137347,0.467476279,0.532523751,0,47
0.331752479,0.668247461,0.341570437,0.658429563,0.333333333,44
0.506777465,0.493222564,0.695740998,0.304259032,0.466666667,94
0.577959061,0.422040969,0.452741146,0.547258914,0.4,23
0.1833774,0.816622615,0.629837155,0.370162845,0.210526316,43
0.437442362,0.562557578,0.487637758,0.512362242,0.055555556,34
0.777761519,0.222238511,0.36655882,0.63344115,0.272727273,26
0.633869648,0.366130412,0.606876075,0.393123925,0.04,79
0.391863465,0.608136475,0.621591628,0.378408432,0.416666667,403
0.546187401,0.453812599,0.441729963,0.558270037,0.25,25
0.484107256,0.515892744,0.531272292,0.468727738,0.192982456,54
0.470796883,0.529203117,0.447051525,0.552948415,0.2,30
0.788234591,0.211765379,0.542690337,0.457309693,0,22
0.36311391,0.636886001,0.152495503,0.847504497,0.157894737,28
0.253103822,0.746896148,0.470671088,0.529328883,0.115384615,32
0.517434239,0.48256579,0.493462116,0.506537914,0.25,94
0.475540608,0.524459362,0.398098856,0.601901114,0.128205128,64
0.393725991,0.606274068,0.488279969,0.511719942,0.142857143,32
0.236844808,0.763155222,0.332027227,0.667972803,0.227272727,14
0.604042888,0.395957172,0.416107655,0.583892345,0.25,139
0.379087865,0.620912194,0.632928967,0.367071062,0.375,38
0.393463701,0.606536269,0.450084925,0.549915135,0.333333333,23
0.456544638,0.543455362,0.254306078,0.745693922,0.214285714,78
0.475183845,0.524816155,0.661773145,0.338226855,0.307692308,131
0.240736261,0.759263694,0.573824525,0.426175386,0.25,42
0.60446614,0.3955338,0.868457854,0.131542176,0.31884058,83
0.505570769,0.494429231,0.340749234,0.659250736,0.37037037,22
0.302754641,0.697245359,0.332536817,0.667463124,0.454545455,55
0.443914771,0.556085229,0.388041556,0.611958444,0.2,36
0.447472006,0.552527964,0.358180612,0.641819417,0.2,76
0.333859175,0.666140854,0.36523515,0.63476485,0.285714286,107
0.360858351,0.639141679,0.705219507,0.294780463,0.5,96
0.458476901,0.541523039,0.335148931,0.664851069,0.194444444,68
0.483569175,0.516430736,0.60167551,0.39832446,0.289473684,67
0.511578619,0.48842141,0.552687168,0.447312832,0.090909091,96
0.447810709,0.552189291,0.442301661,0.557698309,0.014285714,69
0.712000906,0.287999153,0.6447227,0.355277359,0.511111111,79
0.501695275,0.498304725,0.346563041,0.653436959,0.402985075,96
0.543030024,0.456969947,0.182671726,0.817328274,0.0625,66
0.501963556,0.498036474,0.589060187,0.410939813,0.181818182,43
0.375437617,0.624562323,0.663980663,0.336019367,0.301587302,115
0.519878447,0.480121613,0.717150807,0.282849193,0.320987654,154
0.345242113,0.654757857,0.372352421,0.627647579,0.3375,90
0.53139019,0.468609869,0.500319719,0.499680191,0.3,73
0.523985386,0.476014644,0.797988474,0.202011481,0.253012048,69
0.513152361,0.486847699,0.551801682,0.448198408,0.208333333,74
0.650581062,0.349418879,0.605115116,0.394884855,0.173913043,47
0.479062587,0.520937443,0.447897732,0.552102268,0.333333333,39
0.486738712,0.513261199,0.462537259,0.537462771,0.25,46
0.275943279,0.72405678,0.089140736,0.910859287,0.153846154,14
0.342144489,0.657855511,0.508244157,0.491755873,0.285714286,38
0.478723645,0.521276355,0.74642843,0.2535716,0.254545455,21
0.446568877,0.553431153,0.310670555,0.689329445,0.15,38
0.429495156,0.570504904,0.464635372,0.535364687,0.125,24
0.415262043,0.584737897,0.30357796,0.69642204,0.037037037,58
0.717515051,0.282484919,0.654179215,0.345820844,0.306122449,47
0.472871304,0.527128637,0.55911696,0.4408831,0.356435644,77
0.370884299,0.62911576,0.233693138,0.766306877,0.263736264,92
0.342960685,0.657039285,0.603233755,0.396766245,0.292929293,72
0.604383588,0.395616412,0.276086479,0.72391355,0.248,38
